DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,,,,
1/13/2014,"2,688,086","2,688,086","2,688,086","2,688,086",1,1,,,,
1/14/2014,"2,680,986","2,680,986","2,680,986","2,680,986",1,1,,,,
1/15/2014,"2,684,114","2,684,114","2,684,114","2,684,114",1,1,,,,
1/16/2014,"2,683,839","2,683,839","2,683,839","2,683,839",1,1,,,,
1/17/2014,"2,682,514","2,682,514","2,682,514","2,682,514",1,1,,,,
1/20/2014,"2,682,264","2,682,264","2,682,264","2,682,264",1,1,,,,
1/21/2014,"2,678,749","2,678,749","2,678,749","2,678,749",1,1,,,,
1/22/2014,"2,680,099","2,680,099","2,680,099","2,680,099",1,1,,,,
1/23/2014,"2,677,391","2,677,391","2,677,391","2,677,391",1,1,,,,
1/24/2014,"2,679,319","2,679,319","2,679,319","2,679,319",1,1,,,,
1/27/2014,"2,678,569","2,678,569","2,678,569","2,678,569",1,1,,,,
1/28/2014,"2,677,569","2,677,569","2,677,569","2,677,569",1,1,,,,
1/29/2014,"2,672,388","2,672,388","2,672,388","2,672,388",1,1,,,,
1/30/2014,"2,668,999","2,668,999","2,668,999","2,668,999",1,1,,,,
1/31/2014,"2,658,628","2,658,628","2,658,628","2,658,628",1,1,,,,
2/3/2014,"2,662,968","2,662,968","2,662,968","2,662,968",1,1,,,,
2/4/2014,"2,644,492","2,644,492","2,644,492","2,644,492",1,1,,,,
2/5/2014,"2,643,722","2,643,722","2,643,722","2,643,722",1,1,,,,
2/6/2014,"2,637,683","2,637,683","2,637,683","2,637,683",1,1,,,,
2/7/2014,"2,639,683","2,639,683","2,639,683","2,639,683",1,1,,,,
2/10/2014,"2,641,755","2,641,755","2,641,755","2,641,755",1,1,,,,
2/11/2014,"2,641,725","2,641,725","2,641,725","2,641,725",1,1,,,,
2/12/2014,"2,634,070","2,634,070","2,634,070","2,634,070",1,1,,,,
2/13/2014,"2,629,025","2,629,025","2,629,025","2,629,025",1,1,,,,
2/14/2014,"2,632,640","2,632,640","2,632,640","2,632,640",1,1,,,,
2/17/2014,"2,631,240","2,631,240","2,631,240","2,631,240",1,1,,,,
2/18/2014,"2,631,113","2,631,113","2,631,113","2,631,113",1,1,,,,
2/19/2014,"2,632,118","2,632,118","2,632,118","2,632,118",1,1,,,,
2/20/2014,"2,631,295","2,631,295","2,631,295","2,631,295",1,1,,,,
2/21/2014,"2,626,303","2,626,303","2,626,303","2,626,303",1,1,,,,
2/24/2014,"2,626,303","2,626,303","2,626,303","2,626,303",1,1,,,,
2/25/2014,"2,629,828","2,629,828","2,629,828","2,629,828",1,1,,,,
2/26/2014,"2,626,978","2,626,978","2,626,978","2,626,978",1,1,,,,
2/27/2014,"2,624,503","2,624,503","2,624,503","2,624,503",1,1,,,,
2/28/2014,"2,614,381","2,614,381","2,614,381","2,614,381",1,1,,,,
3/3/2014,"2,608,606","2,608,606","2,608,606","2,608,606",1,1,,,,
3/4/2014,"2,600,243","2,600,243","2,600,243","2,600,243",1,1,,,,
3/5/2014,"2,598,943","2,598,943","2,598,943","2,598,943",1,1,,,,
3/6/2014,"2,592,558","2,592,558","2,592,558","2,592,558",1,1,,,,
3/7/2014,"2,590,248","2,590,248","2,590,248","2,590,248",1,1,,,,
3/10/2014,"2,589,648","2,589,648","2,589,648","2,589,648",1,1,,,,
